1,1,1,87,89,0,2,0,3,1,0,0,0,1,0,1,0,3,1,0,0,0,1,4,1
1,1,2,67,89,0,2,0,3,0,0,0,0,1,0,1,0,3,0,0,0,0,1,4,2
1,1,3,17,89,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
1,0,4,39,17,1,2,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,5
1,1,5,37,39,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5
1,0,6,35,37,1,2,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,2,1
1,1,7,57,35,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,8,31,57,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
1,1,9,37,31,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
1,0,10,34,37,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,1,11,46,34,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
1,0,12,34,46,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,13,38,34,0,2,1,2,0,0,1,0,0,0,0,1,2,0,0,1,0,0,4,1
1,0,14,14,38,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
1,0,15,34,38,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2
1,1,16,37,34,0,2,1,1,0,0,1,0,0,0,2,1,1,0,0,1,0,0,4,1
1,0,17,34,37,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,1
1,1,18,37,34,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1
1,0,19,36,37,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1
1,1,20,39,36,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1
1,0,21,36,39,0,3,2,0,0,0,1,0,0,0,3,2,0,0,0,1,0,0,3,6
1,1,22,55,36,2,3,2,1,0,0,1,0,0,2,3,2,1,0,0,1,0,0,3,6
1,0,23,34,55,0,2,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,3,1
